15    Tectona grandis,sqrtV = -0.405890 + 1.98158 D + 0.987373 sqrtD
16    Terminalia belerica,V = 10.988 D2.6676
17    Terminalia crenulata,sqrtV = -0.203947 + 3.159215 D
Terminalia tomentosa,sqrtV = -0.203947 + 3.159215 D
Terminalia elliptica,sqrtV = -0.203947 + 3.159215 D
18    Terminalia paniculata,V = 0.13100 - 1.87132 D + 9.47861 D2
19    Wrightia tinctoria,sqrtV = 0.050294 + 3.115497 D - 0.687813 sqrtD
20    Xylia xylocarpa,sqrtV = 0.01631 + 2.20921 D
East Coast,region
1    Albizia amara,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
2    Anogeissus latifolia,V = 0.289 - 2.653 D + 11.771 D2
3    Boswellia serrata,V = 0.36432 - 1.32768 sqrtD + 9.48471 D2
4    Diospyros species,sqrtV = 0.06728 + 4.06351 D - 0.99816 sqrtD
5    *Dolichandrone falcata,V/D = 0.088074/D - 1.449236 + 8.760534 D
6    Grewia tiliaefolia,logeV = 2.2491 + 2.5206 logeD
7    Lannea coromandelica,V = 0.057424 - 1.153088 D + 8.542648 D2
Lannea grandis,V = 0.057424 - 1.153088 D + 8.542648 D2
Odina wodier,V = 0.057424 - 1.153088 D + 8.542648 D2
8    Pterocarpus marsupium,sqrtV = -0.16276 + 2.82002 D + 0.04034 sqrtD
9    Shorea robusta,sqrtV = 0.19994 + 4.57179 D - 1.56823 sqrtD
10    Tectona grandis,V = 0.023613 - 0.531006 D + 6.731036 D2
11    Terminalia crenulata,V = 0.05061 - 1.11994 D + 8.77839 D2
Terminalia tomentosa,V = 0.05061 - 1.11994 D + 8.77839 D2
Terminalia elliptica,V = 0.05061 - 1.11994 D + 8.77839 D2
12    Wrightia tinctoria,V = -0.009510 + 4.149345 D2
